venta_id,fecha,producto_id,cantidad,precio_unitario
V0001,2026-01-03,P001,4,82.00
V0002,2026-01-03,P004,3,105.00
V0003,2026-01-04,P005,5,55.00
V0004,2026-01-08,P002,3,78.00
V0005,2026-01-09,P003,2,190.00
V0006,2026-01-11,P006,6,38.00
V0007,2026-01-14,P007,2,165.00
V0008,2026-01-15,P001,5,82.00
V0009,2026-01-18,P004,4,105.00
V0010,2026-01-22,P008,5,48.00
V0011,2026-01-28,P005,4,55.00
V0012,2026-02-02,P001,6,82.00
V0013,2026-02-04,P002,4,78.00
V0014,2026-02-05,P004,5,105.00
V0015,2026-02-07,P005,7,55.00
V0016,2026-02-10,P003,2,190.00
V0017,2026-02-12,P006,5,38.00
V0018,2026-02-16,P007,3,165.00
V0019,2026-02-19,P008,6,48.00
V0020,2026-02-22,P001,4,82.00
V0021,2026-02-26,P005,5,55.00
V0022,2026-03-01,P004,6,105.00
V0023,2026-03-03,P001,7,82.00
V0024,2026-03-05,P002,4,78.00
V0025,2026-03-07,P005,8,55.00
V0026,2026-03-09,P003,3,190.00
V0027,2026-03-13,P006,7,38.00
V0028,2026-03-14,P007,3,165.00
V0029,2026-03-20,P008,7,48.00
V0030,2026-03-24,P004,5,105.00
V0031,2026-03-28,P001,6,82.00
V0032,2026-04-02,P005,9,55.00
V0033,2026-04-04,P001,8,82.00
V0034,2026-04-06,P004,6,105.00
V0035,2026-04-07,P002,5,78.00
V0036,2026-04-10,P003,3,190.00
V0037,2026-04-11,P006,6,38.00
V0038,2026-04-14,P007,4,165.00
V0039,2026-04-18,P008,8,48.00
V0040,2026-04-23,P005,7,55.00
V0041,2026-04-27,P001,7,82.00
V0042,2026-05-02,P004,7,105.00
V0043,2026-05-03,P005,10,55.00
V0044,2026-05-05,P001,9,82.00
V0045,2026-05-08,P002,5,78.00
V0046,2026-05-10,P003,4,190.00
V0047,2026-05-12,P006,7,38.00
V0048,2026-05-15,P007,4,165.00
V0049,2026-05-17,P008,8,48.00
V0050,2026-05-22,P004,6,105.00
V0051,2026-05-26,P005,9,55.00
V0052,2026-05-28,P001,8,82.00
